fleet_seed,arm,rsu,executed_tasks,admitted_work_ms_per_rsu,admitted_work_share_per_rsu,mean_post_batch_workload_ms_per_rsu,p95_post_batch_workload_ms_per_rsu,maximum_post_batch_workload_ms_per_rsu,service_utilisation_per_rsu
3,ingress,6,53208,943706.9223966599,0.16082697573321006,87.3802705949545,209.43931121826165,474.49383544921875,0.08738027059495448
3,ingress,7,9370,151245.5952103138,0.025775345176942556,14.004221790609536,74.81694602966309,247.55072021484375,0.014004221790609537
3,ingress,8,32307,547075.7620682716,0.09323290761387418,50.65516315853154,151.08675537109366,358.4623718261719,0.050655163158531545
3,common_target,0,114852,2602516.7701568604,0.4828974128742789,240.9737750145241,384.871531677246,535.1683959960938,0.2409737750145241
3,common_target,1,85645,1639000.4552423954,0.30411680286256687,151.7593014113329,258.9049819946289,438.34930419921875,0.1517593014113329
3,common_target,2,47523,787938.8412284851,0.14620218101782273,72.95730011374862,149.29743576049805,350.39013671875,0.07295730011374862
3,common_target,3,17347,279707.61369013786,0.05189979352335347,25.89885311945721,76.82607345581054,182.7413787841797,0.02589885311945721
3,common_target,4,4931,80214.47904372215,0.014883809721978012,7.427266578122421,37.698957443237305,115.58763122558594,0.0074272665781224215
3,common_target,5,0,0.0,0.0,0.0,0.0,0.0,0.0
3,common_target,6,0,0.0,0.0,0.0,0.0,0.0,0.0
3,common_target,7,0,0.0,0.0,0.0,0.0,0.0,0.0
3,common_target,8,0,0.0,0.0,0.0,0.0,0.0,0.0
4,per_task,0,38253,617133.2473163605,0.11116192519373937,57.14196734874337,98.18794860839843,155.89324951171875,0.05714196734874337
4,per_task,1,38358,616891.9392814636,0.11111845927152483,57.11962397204505,98.20800247192382,168.056640625,0.05711962397204505
4,per_task,2,38120,617142.6301996708,0.11116361529774393,57.14283614516258,97.85178298950194,158.20819091796875,0.057142836145162586
4,per_task,3,38333,617381.0109620094,0.11120655394119888,57.16490841132623,97.72643089294431,162.53741455078125,0.05716490841132623
4,per_task,4,38325,615569.5801131725,0.11088026761423843,56.99718335454111,97.49967117309565,173.72254943847656,0.056997183354541105
4,per_task,5,38157,616453.3024783134,0.11103944924944122,57.07900949264014,98.4069496154785,172.16452026367188,0.057079009492640144
4,per_task,6,37998,616736.1473622322,0.11109039705036482,57.10519882776119,97.80234909057612,159.79754638671875,0.05710519882776119
4,per_task,7,38308,615649.5344860554,0.11089466949917326,57.00458650785464,97.35187225341797,178.3811492919922,0.057004586507854636
4,per_task,8,38356,618702.9109196663,0.11144466288257525,57.28730653301433,97.90866851806636,174.21490478515625,0.05728730653301433
4,ingress,0,72987,1398021.7360215187,0.2710770712142057,129.44645706134813,273.88388671875,530.6875610351562,0.12944645706134814
4,ingress,1,38376,656323.3776028156,0.12726141116825093,60.770683122983684,163.4745262145996,399.3414611816406,0.060770683122983685
4,ingress,2,36137,612983.4121148586,0.1188577715049408,56.75772333169425,161.99078140258788,411.9932861328125,0.05675772333169425
4,ingress,3,31398,529309.2201046944,0.10263330637546494,49.01011296477583,146.9756980895996,322.9232482910156,0.04901011296477583
4,ingress,4,17263,281371.6355345249,0.05455809228010166,26.052929211965314,103.06342468261718,279.6817626953125,0.026052929211965312
4,ingress,5,14080,230308.64482855797,0.04465695439979715,21.324874524407917,94.63899765014645,282.8166198730469,0.021324874524407917
4,ingress,6,48590,860644.1757316589,0.16687930988743313,79.68927552918593,198.1028511047362,490.62518310546875,0.07968927552918594
4,ingress,7,7518,122033.1679930687,0.02366228858836786,11.299367421666782,68.59822540283194,236.61647033691406,0.01129936742166678
4,ingress,8,27978,466289.7141940594,0.09041379458143779,43.17497350553671,136.86391143798826,374.2789306640625,0.043174973505536715
4,common_target,0,107006,2324715.499851227,0.48517831479448253,215.2514351714099,357.8631561279296,534.28076171875,0.21525143517140988
4,common_target,1,78572,1462625.3525526524,0.3052563222349555,135.42827338450485,238.4852989196777,398.2699279785156,0.13542827338450486
4,common_target,2,42062,690973.0395207405,0.1442091021049882,63.97898514080931,138.67039566040035,317.07177734375,0.06397898514080931
4,common_target,3,15137,244576.15146756172,0.05104411486719372,22.64593995070016,73.38638381958006,189.1954345703125,0.022645939950700158
4,common_target,4,4263,68576.16390514374,0.01431214599838007,6.349644806031828,36.94630756378174,126.31497192382812,0.006349644806031828
4,common_target,5,0,0.0,0.0,0.0,0.0,0.0,0.0
4,common_target,6,0,0.0,0.0,0.0,0.0,0.0,0.0
4,common_target,7,0,0.0,0.0,0.0,0.0,0.0,0.0
4,common_target,8,0,0.0,0.0,0.0,0.0,0.0,0.0
